POB	ÁRBOL	NEWX	NEWY	UCSP	UCHGT	UCCOVA	UCCOVR	OCSP	OCHGT	OCCOVA	OCCOVR	D1	D2	NTREE	DROCK	DFOREST	Fm001	FmMg3	Fm018	Tet403	TetE02	TetMC5	Hex406	Hex402	Hex05	TetMC4	HexH03
NC	1926	230.15200	412.53000	3	1.6	85.0	0.0	7	0.8	25.0	45.0	1.0	6.0	6	2.5	90.0	119	178	244	104	173	231	93	142	198	221	289
NC	1927	247.00100	444.65600	1	0.2	1.3	0.0	7	0.4	17.5	4.3	2.9	3.0	4	11.5	80.0	119	178	244	102	183	231	93	142	194	221	283
NC	1928	248.51600	449.31600														117	178	246	122	183	231	93	136	198	222	283
NC	1929	262.93200	482.76900	2	2.1	66.3	0.0	6	2.9	45.0	0.0	1.0	2.5	6	7.0	15.0	119	178	244	104	167	231	97	142	198	221	271
NC	1930	250.58600	502.88900	3	1.7	60.0	52.5	6	0.5	3.8	50.0	17.9	20.0	0	1.0	35.0	119	178	244	104	167	231	95	134	198	221	271
NC	1931	237.80100	243.95700	2	2.2	40.0	0.0	0	0.1	0.0	0.0	11.5	12.7	3	24.5	43.0	119	178	246	104	183	231	97	142	198	221	257
NC	1932	239.76100	233.82700	2	0.7	10.0	0.0	7	1.5	17.5	0.0	6.0	9.0	6	9.5	33.0	119	178	246	104	167	231	93	142	198	221	261
NC	1933	246.25900	236.33000	7	3.3	96.3	0.0	5	2.6	62.5	1.3	3.5	9.0	6	9.2	14.0	119	176	244	104	173	231	93	136	200	221	261
NC	1934	248.25500	225.69400	2	1.1	31.3	27.5	5	0.6	18.8	45.0	8.5	9.8	2	2.8	17.0	119	178	246	104	183	231	97	142	198	221	257
NC	1935	263.81200	246.45600	2	0.7	50.0	82.5	7	1.9	25.0	45.0	8.2	19.4	1	2.0	9.0	119	186	244	102	153	231	93	136	198	228	257
NC	1936	322.73000	468.92300	1	1.5	92.5	0.0	4	0.4	15.0	0.0	6.5	11.5	5	45.0	55.0	119	186	246	104	183	231	95	134	200	221	283
NC	1937	311.73800	453.79400	1	0.4	10.0	0.5	5	0.7	16.3	0.0	4.0	11.0	2	60.0	75.0	119	178	246	104	169	231	93	118	198	221	271
NC	1938	330.16200	449.73400	4	0.8	97.5	0.0	0	0.1	0.0	0.0	6.0	8.5	4	35.0	42.0	119	178	246	104	183	231	95	136	198	221	271
NC	1939	332.67100	458.11200	4	2.9	70.0	0.0	6	3.3	73.8	0.0	1.5	2.0	7	21.0	35.0	119	178	246	104	183	231	95	142	198	221	257
NC	1940	341.09400	474.23600	5	1.6	98.8	0.0	4	1.2	35.0	0.5	1.5	4.5	5	18.0	22.0	119	178	244	104	173	231	95	142	198	221	283
NC	1941	276.59800	279.47600	4	2.2	100.0	0.5	6	0.7	12.5	2.5	8.7	21.7	1	19.0	21.0	119	178	246	104	183	231	97	142	198	221	257
NC	871	175.97400	291.07300														117	178	244	104	183	231	93	142	198	222	295
NC	873	135.05500	525.19200														119	178	246	102	167	235	93	142	198	221	283
NC	1065	273.54200	296.80800														119	178	246	104	167	231	97	142	198	222	257
NC	1066	302.72400	300.22700														119	178	246	104	183	231	97	142	198	221	257
NC	1067	300.85500	289.42100														119	194	246	104	167	231	97	142	198	221	257
NC	1069	237.09400	132.88400														117	178	244	104	183	231	97	132	198	221	261
NC	1070	208.69400	71.98000														117	178	244	106	167	231	95	118	200	221	263
NC	1072	187.14700	131.18100														119	178	244	104	183	231	95	142	198	221	257
NC	1073	132.09100	147.43100														109	178	244	104	173	231	93	136	198	221	249
NC	1074	128.32400	142.63700														117	178	244	142	183	231	97	132	200	221	257
NC	1075	126.03200	129.63800														117	178	244	104	183	231	95	146	198	221	257
NC	1076	117.26500	128.87100														119	178	244	104	183	231	95	132	200	221	257
NC	1077	131.93800	88.55800														117	178	244	104	183	231	95	132	198	221	261
NC	1078	127.02000	70.20600														117	178	244	104	167	231	95	132	200	221	257
NC	1080	74.79400	84.35700														117	178	244	104	185	231	95	132	198	221	257
NC	1081	61.54200	81.29700														117	178	244	104	183	231	95	132	198	221	257
NC	1082	48.94500	75.42300														119	178	244	104	167	231	93	132	194	221	261
NC	1083	47.03300	71.87500														117	178	244	104	183	231	95	146	198	221	257
NC	1084	24.39800	104.50800														119	178	244	142	183	231	97	132	198	221	257
NC	1085	32.27100	98.19700														119	176	244	104	167	231	93	146	198	221	257
NC	1086	149.30200	134.88200														119	176	244	104	173	231	93	146	198	221	263
NC	1087	156.73900	133.95200														119	176	244	104	173	231	93	146	200	221	249
NC	1089	175.97800	205.62100														119	206	246	122	173	231	95	142	198	221	259
NC	1090	175.24100	206.13700														119	178	244	104	167	231	95	136	198	221	261
NC	1091	179.90500	225.13400														109	178	244	104	173	231	93	136	198	221	261
NC	1092	307.84800	350.75200														119	178	246	110	173	231	93	118	198	221	251
NC	1093	309.89900	352.80200														119	178	244	104	183	231	93	136	200	221	263
NC	1094	317.89400	360.29700														119	178	244	104	167	231	97	142	198	221	257
NC	1095	317.39400	360.29700														117	178	246	104	167	235	95	132	198	221	263
NC	1096	329.29400	360.29700														119	178	246	104	167	231	97	142	198	221	257
NC	1097	301.66100	378.98800														119	194	246	104	167	231	97	142	198	221	257
NC	1098	309.08400	377.59800														119	178	244	104	173	231	95	142	198	221	257
NC	1099	310.17100	379.06700														119	178	244	104	173	231	95	142	200	221	257
NC	1100	312.57300	376.40000														119	178	246	104	173	231	95	134	198	221	257
NC	1101	324.82500	388.80400														117	178	246	110	173	235	95	132	202	221	263
