MICROHAB	POINT	NAME	TREE	NEWX	NEWY
PRUNUS	236	Prunus_1938	1938	330.1621	449.7344
PRUNUS	237	Prunus_1939	1939	332.6714	458.1116
PRUNUS	238	Prunus_1940	1940	341.0936	474.2361
PRUNUS	239	Prunus_1941	1941	276.5979	279.4756
A	1	DRCHAA1		57.6100	125.8900
A	2	DRCHAA2		112.2200	160.9200
A	3	DRCHAA3		89.2800	107.1700
A	4	DRCHAA4		70.5600	153.5600
A	5	DRCHAA5		76.3500	158.0700
A	6	DRCHAA6		72.6300	153.1900
A	7	DRCHAA7		86.5400	165.5800
A	8	DRCHAA8		96.7200	162.9100
A	9	DRCHAA9		90.2300	172.8100
A	10	DRCHAA10		69.0400	159.4500
B	1	DRCHAB1		70.8100	125.0700
B	2	DRCHAB2		86.2100	115.4900
B	3	DRCHAB3		83.0700	130.3500
B	4	DRCHAB4		101.6700	130.3500
B	5	DRCHAB5		94.6700	158.0500
B	6	DRCHAB6		61.0700	164.0500
B	7	DRCHAB7		40.7700	171.4400
B	8	DRCHAB8		128.0600	210.0600
B	9	DRCHAB9		62.1800	136.7200
N	1	DRCHAN1		122.1800	91.8300
N	2	DRCHAN2		131.1400	190.5200
N	3	DRCHAN3		107.7400	214.0900
N	4	DRCHAN4		49.4400	196.0000
N	5	DRCHAN5		41.5900	175.3000
N	6	DRCHAN6		26.7000	161.0400
N	7	DRCHAN7		39.4100	174.1500
N	8	DRCHAN8		38.6600	162.0900
N	9	DRCHAN9		104.6900	215.4400
N	10	DRCHAN10		130.8500	213.9400
P	1	DRCHAP1		116.4247	168.1929
P	2	DRCHAP2		128.0600	182.0600
P	3	DRCHAP3		130.5800	196.3400
P	4	DRCHAP4		103.0300	196.5100
P	5	DRCHAP5		75.4700	176.1300
P	6	DRCHAP6		44.6800	183.5800
P	7	DRCHAP7		13.1300	157.0400
P	8	DRCHAP8		27.1400	147.2300
P	9	DRCHAP9		51.8200	127.4500
P	10	DRCHAP10		61.8700	101.7700
R	1	DRCHAR1		99.4200	133.2300
R	2	DRCHAR2		87.0300	134.3100
R	3	DRCHAR3		84.9100	144.4900
R	4	DRCHAR4		79.3700	144.9400
R	5	DRCHAR5		83.0700	151.3500
R	6	DRCHAR6		94.8600	178.3300
R	7	DRCHAR7		78.5800	177.0500
R	8	DRCHAR8		77.6300	172.8100
R	9	DRCHAR9		76.3200	167.7500
R	10	DRCHAR10		73.5100	163.1600
S	1	DRCHAS1		62.0700	114.9800
S	2	DRCHAS2		69.7600	122.8000
S	3	DRCHAS3		78.9900	128.2100
S	4	DRCHAS4		85.9000	118.9700
S	5	DRCHAS5		96.0700	115.6400
S	6	DRCHAS6		110.2300	120.4700
S	7	DRCHAS7		119.0700	130.3500
S	8	DRCHAS8		124.1000	150.4500
S	9	DRCHAS9		118.6500	159.8900
S	10	DRCHAS10		112.6200	174.7700
A	11	ESQA11		392.9800	1021.84
A	12	ESQA12		320.4600	892.4800
A	13	ESQA13		304.0400	945.2600
A	14	ESQA14		309.5700	962.8100
A	15	ESQA15		388.3500	997.4300
A	16	ESQA16		400.1000	1030.64
A	17	ESQA17		406.6000	1031.79
A	18	ESQA18		389.7600	1000.85
A	19	ESQA19		394.4800	1005.9
A	20	ESQA20		402.4900	1024.07
B	10	ESQB10		325.0400	996.4300
B	11	ESQB11		254.2300	761.9200
B	12	ESQB12		276.7400	799.0000
B	13	ESQB13		296.8900	836.0100
B	14	ESQB14		311.8500	868.0900
B	15	ESQB15		224.7200	751.1800
B	16	ESQB16		313.7300	963.9300
B	17	ESQB17		380.2000	1011.09
B	18	ESQB18		402.6100	1016.66
B	19	ESQB19		270.3700	783.1900
B	20	ESQB20		268.4100	784.7700
N	11	ESQN11		399.0500	1021.98
N	12	ESQN12		390.6900	1015.93
N	13	ESQN13		383.7800	1024.23
N	14	ESQN14		309.1500	981.0200
N	15	ESQN15		305.6400	927.2000
N	16	ESQN16		272.8600	820.6800
N	17	ESQN17		267.2200	797.6300
N	18	ESQN18		222.9500	764.6500
N	19	ESQN19		227.2400	766.6800
N	20	ESQN20		240.6500	779.6100
P	11	ESQP11		272.5600	830.1400
P	12	ESQP12		275.8300	780.0400
P	13	ESQP13		296.8900	813.1100
P	14	ESQP14		312.3700	860.3000
P	15	ESQP15		305.0200	912.9100
P	16	ESQP16		319.4600	906.7500
P	17	ESQP17		353.0600	964.1600
P	18	ESQP18		372.4900	1012.72
P	19	ESQP19		396.4200	1016.93
P	20	ESQP20		418.7800	1032.59
R	11	ESQR11		254.2300	789.2200
R	12	ESQR12		250.9500	786.8000
R	13	ESQR13		263.3600	796.0200
R	14	ESQR14		287.6500	802.7500
R	15	ESQR15		283.0000	880.3300
R	16	ESQR16		292.7400	930.4400
R	17	ESQR17		289.2200	951.0600
R	18	ESQR18		314.4900	993.0400
R	19	ESQR19		340.3300	1007.65
R	20	ESQR20		387.6300	1030.9
S	11	ESQS11		263.7500	769.2200
S	12	ESQS12		283.7400	789.4700
S	13	ESQS13		273.8900	813.1100
S	14	ESQS14		287.1900	847.5700
S	15	ESQS15		303.2300	871.9500
S	16	ESQS16		342.4100	971.6100
S	17	ESQS17		344.4500	994.8200
S	18	ESQS18		367.0000	992.2500
S	19	ESQS19		367.0000	1008.75
S	20	ESQS20		403.8100	1031.47
A	1	ESQX1		453.5800	1087.98
A	2	ESQX2		447.8300	1086.92
A	3	ESQX3		449.3100	1095.29
A	4	ESQX4		459.6100	1113.13
A	5	ESQX5		465.4700	1119
A	6	ESQX6		464.9300	1124.55
A	7	ESQX7		373.2200	1025.15
A	8	ESQX8		367.5400	1025.65
A	9	ESQX9		335.2700	1021.55
A	10	ESQX10		408.5300	1042.84
A	11	ESQX11		411.0700	1052.31
A	12	ESQX12		453.5200	1114.76
A	1	INA1		212.6800	478.0700
A	2	INA2		198.8500	469.4500
A	3	INA3		180.6600	466.8200
A	4	INA4		178.4700	468.4600
A	5	INA5		187.5200	482.0400
A	6	INA6		175.0000	459.2300
A	7	INA7		175.6800	465.0100
A	8	INA8		175.3600	461.4600
A	9	INA9		158.9800	472.1400
A	10	INA10		148.7900	476.1100
A	11	INA11		130.1900	470.2800
A	12	INA12		135.0200	420.8900
A	13	INA13		105.4500	428.4700
A	14	INA14		99.7000	428.0200
A	15	INA15		69.5300	415.1800
A	16	INA16		69.5900	421.6900
A	17	INA17		70.9700	428.2800
A	18	INA18		58.7800	454.0900
A	19	INA19		247.2100	455.7300
A	20	INA20		252.0500	455.2800
A	21	INA21		259.9900	453.2200
A	22	INA22		261.4100	458.2900
A	23	INA23		261.2400	448.5800
A	24	INA24		254.9800	431.3900
A	25	INA25		241.8800	415.9200
A	26	INA26		232.8100	411.6900
A	27	INA27		222.7000	421.8000
A	28	INA28		240.8000	407.1400
A	29	INA29		239.3800	397.9400
A	30	INA30		242.2900	395.5000
A	31	INA31		228.4300	380.4200
A	32	INA32		216.2800	356.8900
A	33	INA33		194.8500	315.7700
A	34	INA34		140.0100	283.6300
A	35	INA35		135.7800	292.9400
A	36	INA36		135.7800	307.6400
A	37	INA37		133.1400	317.4900
A	38	INA38		111.8400	310.5100
A	39	INA39		128.9500	348.7800
A	40	INA40		240.3500	428.4800
A	41	INA41		143.9800	280.3300
A	42	INA42		137.5300	286.7300
A	43	INA43		140.8100	298.3500
A	44	INA44		128.7000	307.0200
A	45	INA45		129.6900	301.5100
A	46	INA46		132.5800	313.1800
A	47	INA47		131.7300	314.6500
A	48	INA48		125.6200	315.7300
A	49	INA49		149.1300	320.5000
A	50	INA50		214.9300	404.4800
A	51	INA51		128.5300	288.2300
A	52	INA52		125.2300	287.9800
A	53	INA53		177.5500	320.5300
A	54a	INA54a		180.6700	325.4200
A	54b	INA54b		218.3900	581.1500
A	55	INA55		218.3300	594.7800
A	56	INA56		225.7600	603.8000
A	57	INA57		227.4200	615.7700
A	58	INA58		222.6300	640.8300
A	59	INA59		233.4300	645.5100
A	60	INA60		334.9100	583.3500
A	61	INA61		322.2700	571.9100
A	62	INA62		329.1800	559.5800
A	63	INA63		308.8500	626.3400
A	64	INA64		320.9300	660.3300
A	65	INA65		329.2600	671.5300
A	66	INA66		302.3300	681.6400
A	67	INA67		300.0300	685.4300
A	68	INA68		157.5700	533.2100
A	69	INA69		155.9700	540.7100
A	70	INA70		76.1300	483.5800
A	71	INA71		224.1700	646.3200
A	72	INA72		195.8600	588.1200
A	73	INA73		256.8800	512.3800
A	74	INA74		265.8200	502.8100
A	75	INA75		274.8300	689.4700
A	76	INA76		279.7400	686.0300
A	77	INA77		276.9600	682.3500
A	78	INA78		293.6600	554.7900
A	79	INA79		139.9800	445.2600
A	80	INA80		134.9000	370.9900
B	1	INB1		277.8300	461.1800
B	2	INB2		262.1200	465.3400
B	3	INB3		249.8000	479.0900
B	4	INB4		209.8500	463.8700
B	5	INB5		196.7000	475.9900
B	6	INB6		175.0700	492.2800
B	7	INB7		136.5800	509.0600
B	8	INB8		141.9400	469.8800
B	9	INB9		144.1500	446.3100
B	10	INB10		111.8800	439.7000
B	11	INB11		153.1700	454.0100
B	12	INB12		133.9100	463.4700
B	13	INB13		123.7100	447.8200
B	14	INB14		104.2300	424.2100
B	15	INB15		101.9400	424.3100
B	16	INB16		196.5100	309.5800
B	17	INB17		209.1300	359.2300
B	18	INB18		207.7500	359.4700
B	19	INB19		264.0300	461.8500
B	20	INB20		279.7500	478.4800
B	21	INB21		205.3700	475.8200
B	22	INB22		180.2600	477.2000
B	23	INB23		177.7500	474.7700
B	24	INB24		173.2800	470.0700
B	25	INB25		124.3800	472.2800
B	26	INB26		133.2500	440.3400
B	27	INB27		123.7000	433.1100
B	28	INB28		110.9000	425.9000
B	29	INB29		74.7900	410.5400
B	30	INB30		71.5000	432.8800
B	31	INB31		175.3800	308.9600
B	32	INB32		186.2200	306.4200
B	33	INB33		187.4200	314.8300
B	34	INB34		197.8800	325.2700
B	35	INB35		200.6500	328.5700
B	36	INB36		201.0800	330.8200
B	37	INB37		212.1100	360.2000
B	38	INB38		259.0400	437.3000
B	39	INB39		273.6200	478.2400
B	40	INB40		271.6500	487.8600
B	41	INB41		236.2600	585.2400
B	42	INB42		228.3700	587.6500
B	43	INB43		225.3200	596.0100
B	44	INB44		218.6700	605.5100
B	45	INB45		228.0600	608.5000
B	46	INB46		224.9900	611.0700
B	47	INB47		238.1800	631.8900
B	48	INB48		243.8800	631.0900
B	49	INB49		252.5400	649.6700
B	50	INB50		240.7800	663.2500
B	51	INB51		251.5800	671.5500
B	52	INB52		251.4400	674.9500
B	53	INB53		254.9100	684.4900
B	54	INB54		243.9900	699.4100
B	55	INB55		253.1900	703.7000
B	56	INB56		249.7900	709.5900
B	57	INB57		256.9600	717.8000
B	58	INB58		266.6900	723.1500
B	59	INB59		266.3500	732.1000
B	60	INB60		266.0600	743.0300
B	61	INB61		276.2200	737.4800
B	62	INB62		283.1500	732.6500
B	63	INB63		285.3800	732.4700
B	64	INB64		288.2800	727.3800
B	65	INB65		287.5600	719.1200
B	66	INB66		296.3200	720.6600
B	67	INB67		300.9900	715.9900
B	68	INB68		297.3500	708.9100
B	69	INB69		305.8700	710.1700
B	70	INB70		312.5400	711.9600
B	71	INB71		247.4800	624.8600
B	72	INB72		259.2400	612.7800
B	73	INB73		259.7600	600.5800
