n	state	seedling	eppendorf	site	microhabitat	ref	xref	yref	distance	angle	anglerad	x	y
218	SDL	SDL218	SDL237	IN	R	A12	135,0236034	420,8893118	15,7	355	6,195918845	133,6552582	436,5295685
219	SDL	SDL219	SDL238	IN	R	R31	46,56665213	380,8301978	14,8	90	1,570796327	61,36665213	380,8301978
220	SDL	SDL220	SDL239	IN	R	R31	46,56665213	380,8301978	14,8	90	1,570796327	61,36665213	380,8301978
221	SDL	SDL221	SDL240	IN	R	Joxy	125,3945476	395,5885479	11	335	5,846852994	120,7457467	405,5579335
222	SDL	SDL222	SDL241	IN	R	A49	149,1253106	320,5017056	22,8	280	4,886921906	126,6716938	324,4608841
223	SDL	SDL223	SDL242	IN	R	A49	149,1253106	320,5017056	13	260	4,537856055	136,3228098	318,2442793
224	SDL	SDL224	SDL243	IN	R	A49	149,1253106	320,5017056	13	260	4,537856055	136,3228098	318,2442793
225	SDL	SDL225	SDL244	IN	R	A49	149,1253106	320,5017056	13	260	4,537856055	136,3228098	318,2442793
226	SDL	SDL226	SDL245	IN	R	R68	299,0051427	557,2874751	26,7	25	0,436332313	310,2890503	581,4858931
227	SDL	SDL227	SDL246	IN	S	1928-1929	NA	NA	NA	NA	NA	265,44	468,386
228	SDL	SDL228	SDL247	IN	S	NA	NA	NA	NA	NA	NA	269,599	473,769
229	SDL	SDL229	SDL248	IN	S	NA	NA	NA	NA	NA	NA	269,599	473,769
230	SDL	SDL230	SDL249	IN	S	NA	NA	NA	NA	NA	NA	272,043	476,935
231	SDL	SDL231	SDL250	IN	S	NA	NA	NA	NA	NA	NA	257,194	457,7
232	SDL	SDL232	SDL251	IN	S	NA	NA	NA	NA	NA	NA	254,567	454,296
233	SDL	SDL233	SDL252	IN	S	NA	NA	NA	NA	NA	NA	NA	NA
234	SDL	SDL234	SDL253	IN	S	NA	NA	NA	NA	NA	NA	NA	NA
235	SDL	SDL235	SDL254	IN	S	NA	NA	NA	NA	NA	NA	NA	NA
236	SDL	SDL236	SDL255	IN	S	NA	NA	NA	NA	NA	NA	NA	NA
237	SDL	SDL237	SDL256	IN	S	NA	NA	NA	NA	NA	NA	NA	NA
238	SDL	SDL238	SDL257	IN	S	NA	NA	NA	NA	NA	NA	NA	NA
239	SDL	SDL239	SDL258	IN	S	NA	NA	NA	NA	NA	NA	NA	NA
240	SDL	SDL240	SDL259	IN	S	NA	NA	NA	NA	NA	NA	NA	NA
241	SDL	SDL241	SDL260	IN	S	NA	NA	NA	NA	NA	NA	NA	NA
242	SDL	SDL242	SDL261	IN	S	NA	NA	NA	NA	NA	NA	345,064	571,531
243	SDL	SDL243	SDL262	IN	S	NA	NA	NA	NA	NA	NA	345,064	571,531
244	SDL	SDL244	SDL263	IN	S	NA	NA	NA	NA	NA	NA	NA	NA
245	SDL	SDL245	SDL264	IN	S	NA	NA	NA	NA	NA	NA	345,064	571,531
246	SDL	SDL246	SDL265	IN	S	NA	NA	NA	NA	NA	NA	345,064	571,531
