Prunus mahaleb, 11 loci microsatellites, 10 poplations
Fam001 FamMg3 Fam018 Tet403 TetE02 TetMC4 TetMC5 Hex406 Hex402 HexA05 HexH03                                                           
Pop
NC_1127   ,    119119    178190    244244    104124    167173    221221    231231    097097    146146    198198    271289
NC_1129   ,    119119    178194    244246    104104    167173    221222    231235    097097    134136    198200    283283
NC_1132   ,    119119    186194    246246    104104    183183    221222    231235    095095    136136    198200    283283
NC_1133   ,    119119    178178    244246    104110    167183    221222    231231    093095    132136    198198    251283
NC_1135   ,    119119    178178    244246    104104    167173    221222    231235    097097    136146    198200    257271
NC_1137   ,    117117    192192    244244    112112    183183    228228    235235    093093    132132    198198    251271
NC_1138   ,    117119    178206    246246    104112    169185    221222    231231    095095    144146    200200    257295
NC_1155   ,    119125    194204    246246    106106    183183    226228    231231    093095    132136    198198    259271
NC_1156   ,    119119    178178    246246    104116    183183    221221    231235    097097    142142    198198    257257
NC_1161   ,    119119    178206    244244    104112    167183    221226    231235    095097    142146    194198    257269
NC_1164   ,    117119    178194    244246    104142    145183    222222    231231    095097    136146    198200    283295
NC_1165   ,    109117    176194    246246    104142    167183    221222    231235    093097    136142    194200    261283
NC_1169   ,    119121    186194    246246    104122    183183    221222    231235    095095    134136    198198    283283
NC_1170   ,    117119    178204    244246    104104    183183    221221    231231    095095    142142    194194    271283
NC_1173   ,    117119    178194    244246    104104    183183    221222    231231    093097    142142    198198    287295
NC_1175   ,    117119    204204    246246    104104    173183    221221    231231    095095    132142    198198    271271
NC_1176   ,    119121    186186    246246    104122    183183    222222    231235    095095    134136    198200    295295
NC_1177   ,    119121    186194    246246    104122    183183    221222    231235    095095    134136    198200    283295
NC_1178   ,    119121    186186    246246    122122    183183    221221    231235    095095    134136    198198    283295
NC_1179   ,    119119    178178    244246    104104    167167    221222    235235    093093    142142    194198    283287
NC_1181   ,    119121    194194    246246    104122    183183    221221    231235    095095    134136    200200    295295
NC_1182   ,    119119    178178    246246    102104    167183    222222    231231    093093    142142    198198    283287
