MICROHAB	POINT	NAME	TREE	NEWX	NEWY	SPECIES MHAB
PRUNUS	152	Prunus_1146	1146	194.2	319.1	Prunus
PRUNUS	153	Prunus_1147	1147	197.4	323.1	Prunus
PRUNUS	154	Prunus_1148	1148	195.7	331.0	Prunus
PRUNUS	155	Prunus_1149	1149	196.2	333.6	Prunus
PRUNUS	156	Prunus_1150	1150	197.0	342.5	Prunus
PRUNUS	157	Prunus_1151	1151	201.9	339.2	Prunus
PRUNUS	158	Prunus_1152	1152	209.3	383.1	Prunus
PRUNUS	159	Prunus_1153	1153	199.6	376.8	Prunus
PRUNUS	160	Prunus_1154	1154	197.3	375.0	Prunus
PRUNUS	161	Prunus_1155	1155	194.4	377.5	Prunus
PRUNUS	162	Prunus_1156	1156	191.4	373.2	Prunus
PRUNUS	163	Prunus_1157	1157	189.8	370.1	Prunus
PRUNUS	164	Prunus_1158	1158	181.8	366.9	Prunus
PRUNUS	165	Prunus_1159	1159	179.4	364.9	Prunus
PRUNUS	166	Prunus_1160	1160	177.0	365.3	Prunus
PRUNUS	167	Prunus_1161	1161	170.2	366.2	Prunus
PRUNUS	168	Prunus_1162	1162	188.8	377.0	Prunus
PRUNUS	169	Prunus_1163	1163	184.4	369.1	Prunus
PRUNUS	170	Prunus_1164	1164	218.0	383.8	Prunus
PRUNUS	171	Prunus_1165	1165	206.1	399.1	Prunus
PRUNUS	172	Prunus_1166	1166	228.2	420.9	Prunus
PRUNUS	173	Prunus_1167	1167	226.6	421.0	Prunus
PRUNUS	174	Prunus_1168	1168	237.0	451.8	Prunus
PRUNUS	175	Prunus_1169	1169	229.2	475.3	Prunus
PRUNUS	176	Prunus_1170	1170	222.9	477.8	Prunus
PRUNUS	177	Prunus_1171	1171	220.5	476.1	Prunus
PRUNUS	178	Prunus_1172	1172	218.7	474.9	Prunus
PRUNUS	179	Prunus_1173	1173	225.1	461.1	Prunus
PRUNUS	180	Prunus_1174	1174	226.8	465.2	Prunus
PRUNUS	181	Prunus_1175	1175	220.8	471.7	Prunus
PRUNUS	182	Prunus_1176	1176	217.6	465.8	Prunus
PRUNUS	183	Prunus_1177	1177	198.8	469.6	Prunus
PRUNUS	184	Prunus_1178	1178	211.3	475.5	Prunus
PRUNUS	185	Prunus_1179	1179	195.2	465.0	Prunus
PRUNUS	186	Prunus_1180	1180	193.2	465.9	Prunus
PRUNUS	187	Prunus_1181	1181	189.2	471.7	Prunus
PRUNUS	188	Prunus_1182	1182	188.6	472.5	Prunus
PRUNUS	189	Prunus_1183	1183	188.0	473.3	Prunus
PRUNUS	190	Prunus_1184	1184	188.3	472.9	Prunus
PRUNUS	191	Prunus_1185	1185	191.6	463.0	Prunus
PRUNUS	192	Prunus_1186	1186	209.5	538.6	Prunus
PRUNUS	193	Prunus_1187	1187	213.6	528.9	Prunus
PRUNUS	194	Prunus_1188	1188	219.2	517.7	Prunus
PRUNUS	195	Prunus_1189	1189	212.1	519.7	Prunus
PRUNUS	196	Prunus_1190	1190	217.2	515.3	Prunus
PRUNUS	197	Prunus_1191	1191	178.8	480.1	Prunus
PRUNUS	198	Prunus_1192	1192	169.3	477.0	Prunus
PRUNUS	199	Prunus_1193	1193	170.0	442.9	Prunus
PRUNUS	200	Prunus_1194	1194	159.3	536.2	Prunus
PRUNUS	201	Prunus_1195	1195	140.9	534.4	Prunus
PRUNUS	202	Prunus_1196	1196	136.1	526.3	Prunus
PRUNUS	203	Prunus_1197	1197	197.5	548.8	Prunus
PRUNUS	204	Prunus_1198	1198	233.5	591.7	Prunus
PRUNUS	205	Prunus_1199	1199	105.7	142.7	Prunus
PRUNUS	206	Prunus_1200	1200	283.9	518.4	Prunus
PRUNUS	207	Prunus_1820	1820	206.4	208.8	Prunus
PRUNUS	208	Prunus_1821	1821	187.9	213.7	Prunus
PRUNUS	209	Prunus_1822	1822	307.6	264.0	Prunus
PRUNUS	210	Prunus_1823	1823	142.7	142.7	Prunus
PRUNUS	211	Prunus_1824	1824	131.7	146.5	Prunus
PRUNUS	212	Prunus_1825	1825	244.8	176.8	Prunus
PRUNUS	213	Prunus_1826	1826	270.0	252.8	Prunus
PRUNUS	214	Prunus_1827	1827	281.7	271.9	Prunus
PRUNUS	215	Prunus_1828	1828	295.3	295.0	Prunus
PRUNUS	216	Prunus_1829	1829	286.7	297.0	Prunus
PRUNUS	217	Prunus_1830	1830	304.2	378.5	Prunus
PRUNUS	218	Prunus_1831	1831	309.3	376.5	Prunus
PRUNUS	219	Prunus_1832	1832	305.0	382.1	Prunus
PRUNUS	220	Prunus_1833	1833	311.5	381.0	Prunus
PRUNUS	221	Prunus_1834	1834	330.2	387.8	Prunus
PRUNUS	222	Prunus_1835	1835	346.3	427.1	Prunus
PRUNUS	223	Prunus_1836	1836	347.7	433.0	Prunus
PRUNUS	224	Prunus_1837	1837	330.6	461.3	Prunus
PRUNUS	225	Prunus_1838	1838	349.5	471.9	Prunus
PRUNUS	226	Prunus_1839	1839	333.6	465.0	Prunus
PRUNUS	227	Prunus_1841	1841	163.3	292.2	Prunus
PRUNUS	228	Prunus_1842	1842	170.2	314.5	Prunus
PRUNUS	229	Prunus_1843	1843	185.5	324.2	Prunus
PRUNUS	230	Prunus_1844	1844	225.3	401.4	Prunus
PRUNUS	231	Prunus_1845	1845	226.2	405.3	Prunus
PRUNUS	232	Prunus_1846	1846	249.6	444.2	Prunus
PRUNUS	233	Prunus_1847	1847	253.6	447.3	Prunus
PRUNUS	234	Prunus_1848	1848	255.6	471.0	Prunus
PRUNUS	235	Prunus_1849	1849	255.1	469.6	Prunus
PRUNUS	236	Prunus_1850	1850	262.2	480.6	Prunus
PRUNUS	237	Prunus_1851	1851	391.3	520.1	Prunus
PRUNUS	238	Prunus_1921	1921	187.4	300.0	Prunus
PRUNUS	239	Prunus_1922	1922	209.0	356.8	Prunus
PRUNUS	240	Prunus_1923	1923	211.1	362.7	Prunus
PRUNUS	241	Prunus_1924	1924	228.1	386.5	Prunus
PRUNUS	242	Prunus_1925	1925	229.2	389.9	Prunus
PRUNUS	243	Prunus_1926	1926	232.9	412.5	Prunus
PRUNUS	244	Prunus_1927	1927	247.0	444.7	Prunus
PRUNUS	245	Prunus_1928	1928	248.5	449.3	Prunus
PRUNUS	246	Prunus_1929	1929	262.9	482.8	Prunus
PRUNUS	247	Prunus_1930	1930	250.6	502.9	Prunus
PRUNUS	248	Prunus_1931	1931	237.8	244.0	Prunus
PRUNUS	249	Prunus_1932	1932	239.8	233.8	Prunus
PRUNUS	250	Prunus_1933	1933	246.3	236.3	Prunus
PRUNUS	251	Prunus_1934	1934	248.3	225.7	Prunus
PRUNUS	252	Prunus_1935	1935	263.8	246.5	Prunus
PRUNUS	253	Prunus_1936	1936	322.7	468.9	Prunus
PRUNUS	254	Prunus_1937	1937	311.7	453.8	Prunus
PRUNUS	255	Prunus_1938	1938	330.2	449.7	Prunus
PRUNUS	256	Prunus_1939	1939	332.7	458.1	Prunus
PRUNUS	257	Prunus_1940	1940	341.1	474.2	Prunus
PRUNUS	258	Prunus_1941	1941	276.6	279.5	Prunus
A	1	DRCHAA1		57.6	125.9	
A	2	DRCHAA2		112.2	160.9	
A	3	DRCHAA3		89.3	107.2	
A	4	DRCHAA4		70.6	153.6	
A	5	DRCHAA5		76.4	158.1	
A	6	DRCHAA6		72.6	153.2	
A	7	DRCHAA7		86.5	165.6	
A	8	DRCHAA8		96.7	162.9	
A	9	DRCHAA9		90.2	172.8	
A	10	DRCHAA10		69.0	159.5	
a	1	DRCHAa1		70.8	125.1	
a	2	DRCHAa2		86.2	115.5	
a	3	DRCHAa3		83.1	130.4	
a	4	DRCHAa4		101.7	130.4	
a	5	DRCHAa5		94.7	158.1	
a	6	DRCHAa6		61.1	164.1	
a	7	DRCHAa7		40.8	171.4	
a	8	DRCHAa8		128.1	210.1	
a	9	DRCHAa9		62.2	136.7	
N	1	DRCHAN1		122.2	91.8	
N	2	DRCHAN2		131.1	190.5	
N	3	DRCHAN3		107.7	214.1	
N	4	DRCHAN4		49.4	196.0	
N	5	DRCHAN5		41.6	175.3	
N	6	DRCHAN6		26.7	161.0	
N	7	DRCHAN7		39.4	174.2	
N	8	DRCHAN8		38.7	162.1	
N	9	DRCHAN9		104.7	215.4	
N	10	DRCHAN10		130.9	213.9	
P	1	DRCHAP1		116.4	168.2	Pinus
P	2	DRCHAP2		128.1	182.1	Pinus
P	3	DRCHAP3		130.6	196.3	Pinus
P	4	DRCHAP4		103.0	196.5	Pinus
P	5	DRCHAP5		75.5	176.1	Pinus
P	6	DRCHAP6		44.7	183.6	Pinus
P	7	DRCHAP7		13.1	157.0	Pinus
P	8	DRCHAP8		27.1	147.2	Pinus
P	9	DRCHAP9		51.8	127.5	Pinus
P	10	DRCHAP10		61.9	101.8	Pinus
R	1	DRCHAR1		99.4	133.2	Gravelly soil
R	2	DRCHAR2		87.0	134.3	Gravelly soil
R	3	DRCHAR3		84.9	144.5	Gravelly soil
R	4	DRCHAR4		79.4	144.9	Gravelly soil
R	5	DRCHAR5		83.1	151.4	Gravelly soil
R	6	DRCHAR6		94.9	178.3	Gravelly soil
R	7	DRCHAR7		78.6	177.1	Gravelly soil
R	8	DRCHAR8		77.6	172.8	Gravelly soil
R	9	DRCHAR9		76.3	167.8	Gravelly soil
R	10	DRCHAR10		73.5	163.2	Gravelly soil
S	1	DRCHAS1		62.1	115.0	Deep soil
S	2	DRCHAS2		69.8	122.8	Deep soil
S	3	DRCHAS3		79.0	128.2	Deep soil
S	4	DRCHAS4		85.9	119.0	Deep soil
S	5	DRCHAS5		96.1	115.6	Deep soil
S	6	DRCHAS6		110.2	120.5	Deep soil
S	7	DRCHAS7		119.1	130.4	Deep soil
S	8	DRCHAS8		124.1	150.5	Deep soil
S	9	DRCHAS9		118.7	159.9	Deep soil
S	10	DRCHAS10		112.6	174.8	Deep soil
A	11	ESQA11		393.0	1021.8	
A	12	ESQA12		320.5	892.5	
A	13	ESQA13		304.0	945.3	
A	14	ESQA14		309.6	962.8	
A	15	ESQA15		388.4	997.4	
A	16	ESQA16		400.1	1030.6	
A	17	ESQA17		406.6	1031.8	
A	18	ESQA18		389.8	1000.9	
A	19	ESQA19		394.5	1005.9	
A	20	ESQA20		402.5	1024.1	
a	10	ESQa10		325.0	996.4	
a	11	ESQa11		254.2	761.9	
a	12	ESQa12		276.7	799.0	
a	13	ESQa13		296.9	836.0	
a	14	ESQa14		311.9	868.1	
a	15	ESQa15		224.7	751.2	
a	16	ESQa16		313.7	963.9	
a	17	ESQa17		380.2	1011.1	
a	18	ESQa18		402.6	1016.7	
a	19	ESQa19		270.4	783.2	
a	20	ESQa20		268.4	784.8	
N	11	ESQN11		399.1	1022.0	
N	12	ESQN12		390.7	1015.9	
N	13	ESQN13		383.8	1024.2	
N	14	ESQN14		309.2	981.0	
N	15	ESQN15		305.6	927.2	
N	16	ESQN16		272.9	820.7	
N	17	ESQN17		267.2	797.6	
N	18	ESQN18		223.0	764.7	
N	19	ESQN19		227.2	766.7	
N	20	ESQN20		240.7	779.6	
P	11	ESQP11		272.6	830.1	
P	12	ESQP12		275.8	780.0	
P	13	ESQP13		296.9	813.1	
P	14	ESQP14		312.4	860.3	
P	15	ESQP15		305.0	912.9	
P	16	ESQP16		319.5	906.8	
P	17	ESQP17		353.1	964.2	
P	18	ESQP18		372.5	1012.7	
