SITE	MHAB	POINT	LABEL	OX	OY	x	y	AREA	SITE2	MICRO	MICROCAMPO	sdl97	sd9798	sdl98	sd9899	sdl99	sd9900	sd	sdl
ESQ	R	11	ESQR11	54.23	489.22	254.23	789.22	OUT	ESQ	R	R	0	0	0	0	0	0	0	0
ESQ	R	12	ESQR12	50.95	486.80	250.95	786.80	OUT	ESQ	R	R	0	0	0	0	0	0	0	0
ESQ	R	13	ESQR13	63.36	496.02	263.36	796.02	OUT	ESQ	R	R	0	0	0	0	0	0	0	0
ESQ	R	14	ESQR14	87.65	502.75	287.65	802.75	OUT	ESQ	R	R	0	0	0	0	0	0	0	0
ESQ	R	15	ESQR15	83.00	580.33	283.00	880.33	OUT	ESQ	R	R	0	0	0	0	0	0	0	0
ESQ	R	16	ESQR16	92.74	630.44	292.74	930.44	OUT	ESQ	R	R	0	0	0	0	0	0	0	0
ESQ	R	17	ESQR17	89.22	651.06	289.22	951.06	OUT	ESQ	R	R	0	0	0	0	0	0	0	0
ESQ	R	18	ESQR18	114.49	693.04	314.49	993.04	OUT	ESQ	R	R	0	0	0	0	0	0	0	0
ESQ	R	19	ESQR19	140.33	707.65	340.33	1007.65	OUT	ESQ	R	R	0	0	0	0	0	0	0	0
ESQ	R	20	ESQR20	187.63	730.90	387.63	1030.90	OUT	ESQ	R	R	0	0	0	0	0	0	0	0
ESQ	S	11	ESQS11	63.75	469.22	263.75	769.22	OUT	ESQ	S	S	0	0	0	0	0	0	0	0
ESQ	S	12	ESQS12	83.74	489.47	283.74	789.47	OUT	ESQ	S	S	0	0	0	0	0	0	0	0
ESQ	S	13	ESQS13	73.89	513.11	273.89	813.11	OUT	ESQ	S	S	0	0	0	0	0	0	0	0
ESQ	S	14	ESQS14	87.19	547.57	287.19	847.57	OUT	ESQ	S	S	0	0	0	0	0	0	0	0
ESQ	S	15	ESQS15	103.23	571.95	303.23	871.95	OUT	ESQ	S	S	0	0	0	0	0	0	0	0
ESQ	S	16	ESQS16	142.41	671.61	342.41	971.61	OUT	ESQ	S	S	0	0	0	0	0	0	0	0
ESQ	S	17	ESQS17	144.45	694.82	344.45	994.82	OUT	ESQ	S	S	0	0	0	0	0	0	0	0
ESQ	S	18	ESQS18	167.00	692.25	367.00	992.25	OUT	ESQ	S	S	0	0	0	0	0	0	0	0
ESQ	S	19	ESQS19	167.00	708.75	367.00	1008.75	OUT	ESQ	S	S	0	0	0	0	0	0	0	0
