MICROHAB	POINT	NAME	TREE	x	y
PRUNUS	158	Prunus_1152	1152	209.271	383.065
PRUNUS	159	Prunus_1153	1153	199.550	376.767
PRUNUS	160	Prunus_1154	1154	197.255	374.982
PRUNUS	161	Prunus_1155	1155	194.431	377.524
PRUNUS	162	Prunus_1156	1156	191.391	373.183
PRUNUS	163	Prunus_1157	1157	189.821	370.146
PRUNUS	164	Prunus_1158	1158	181.791	366.918
PRUNUS	165	Prunus_1159	1159	179.417	364.926
PRUNUS	166	Prunus_1160	1160	176.983	365.307
PRUNUS	167	Prunus_1161	1161	170.233	366.241
PRUNUS	168	Prunus_1162	1162	188.753	377.028
PRUNUS	169	Prunus_1163	1163	184.396	369.104
PRUNUS	170	Prunus_1164	1164	217.978	383.829
PRUNUS	171	Prunus_1165	1165	206.084	399.111
PRUNUS	172	Prunus_1166	1166	228.218	420.910
PRUNUS	173	Prunus_1167	1167	226.624	421.049
PRUNUS	174	Prunus_1168	1168	236.974	451.769
PRUNUS	175	Prunus_1169	1169	229.234	475.295
PRUNUS	176	Prunus_1170	1170	222.929	477.843
PRUNUS	177	Prunus_1171	1171	220.471	476.122
PRUNUS	178	Prunus_1172	1172	218.669	474.860
PRUNUS	179	Prunus_1173	1173	225.093	461.084
PRUNUS	180	Prunus_1174	1174	226.768	465.208
PRUNUS	181	Prunus_1175	1175	220.849	471.747
PRUNUS	182	Prunus_1176	1176	217.560	465.828
PRUNUS	183	Prunus_1177	1177	198.817	469.612
PRUNUS	184	Prunus_1178	1178	211.297	475.505
PRUNUS	185	Prunus_1179	1179	195.188	464.968
PRUNUS	186	Prunus_1180	1180	193.247	465.892
PRUNUS	187	Prunus_1181	1181	189.175	471.708
PRUNUS	188	Prunus_1182	1182	188.601	472.527
PRUNUS	189	Prunus_1183	1183	188.028	473.346
PRUNUS	190	Prunus_1184	1184	188.315	472.937
PRUNUS	191	Prunus_1185	1185	191.597	463.034
PRUNUS	192	Prunus_1186	1186	209.452	538.555
PRUNUS	193	Prunus_1187	1187	213.641	528.903
PRUNUS	194	Prunus_1188	1188	219.172	517.710
PRUNUS	195	Prunus_1189	1189	212.096	519.740
PRUNUS	196	Prunus_1190	1190	217.179	515.336
PRUNUS	197	Prunus_1191	1191	178.811	480.098
PRUNUS	198	Prunus_1192	1192	169.338	476.970
PRUNUS	199	Prunus_1193	1193	170.022	442.915
PRUNUS	200	Prunus_1194	1194	159.348	536.240
PRUNUS	201	Prunus_1195	1195	140.929	534.366
PRUNUS	202	Prunus_1196	1196	136.116	526.253
PRUNUS	203	Prunus_1197	1197	197.481	548.753
PRUNUS	204	Prunus_1198	1198	233.477	591.651
PRUNUS	205	Prunus_1199	1199	105.695	142.660
PRUNUS	206	Prunus_1200	1200	283.894	518.385
PRUNUS	207	Prunus_1820	1820	206.376	208.823
PRUNUS	208	Prunus_1821	1821	187.878	213.748
PRUNUS	209	Prunus_1822	1822	307.635	263.986
PRUNUS	210	Prunus_1823	1823	142.746	142.695
PRUNUS	211	Prunus_1824	1824	131.668	146.524
PRUNUS	212	Prunus_1825	1825	244.839	176.806
PRUNUS	213	Prunus_1826	1826	269.971	252.804
PRUNUS	214	Prunus_1827	1827	281.693	271.871
PRUNUS	215	Prunus_1828	1828	295.269	295.007
PRUNUS	216	Prunus_1829	1829	286.747	296.971
PRUNUS	217	Prunus_1830	1830	304.222	378.537
PRUNUS	218	Prunus_1831	1831	309.275	376.515
PRUNUS	219	Prunus_1832	1832	305.042	382.068
PRUNUS	220	Prunus_1833	1833	311.483	380.997
PRUNUS	221	Prunus_1834	1834	330.242	387.849
PRUNUS	222	Prunus_1835	1835	346.263	427.144
PRUNUS	223	Prunus_1836	1836	347.663	432.956
PRUNUS	224	Prunus_1837	1837	330.584	461.258
PRUNUS	225	Prunus_1838	1838	349.450	471.923
PRUNUS	226	Prunus_1839	1839	333.605	464.988
PRUNUS	227	Prunus_1841	1841	163.319	292.203
PRUNUS	228	Prunus_1842	1842	170.250	314.510
PRUNUS	229	Prunus_1843	1843	185.476	324.172
PRUNUS	230	Prunus_1844	1844	225.281	401.396
PRUNUS	231	Prunus_1845	1845	226.249	405.277
PRUNUS	232	Prunus_1846	1846	249.649	444.192
PRUNUS	233	Prunus_1847	1847	253.629	447.344
PRUNUS	234	Prunus_1848	1848	255.561	471.000
PRUNUS	235	Prunus_1849	1849	255.098	469.573
PRUNUS	236	Prunus_1850	1850	262.184	480.594
PRUNUS	237	Prunus_1851	1851	391.307	520.073
PRUNUS	238	Prunus_1921	1921	187.400	300.000
PRUNUS	239	Prunus_1922	1922	208.995	356.792
PRUNUS	240	Prunus_1923	1923	211.061	362.732
PRUNUS	241	Prunus_1924	1924	228.121	386.546
PRUNUS	242	Prunus_1925	1925	229.202	389.875
PRUNUS	243	Prunus_1926	1926	232.872	412.530
PRUNUS	244	Prunus_1927	1927	247.001	444.656
PRUNUS	245	Prunus_1928	1928	248.516	449.316
PRUNUS	246	Prunus_1929	1929	262.932	482.769
PRUNUS	247	Prunus_1930	1930	250.586	502.889
PRUNUS	248	Prunus_1931	1931	237.801	243.957
PRUNUS	249	Prunus_1932	1932	239.761	233.827
PRUNUS	250	Prunus_1933	1933	246.259	236.330
PRUNUS	251	Prunus_1934	1934	248.255	225.694
PRUNUS	252	Prunus_1935	1935	263.812	246.456
PRUNUS	253	Prunus_1936	1936	322.730	468.923
PRUNUS	254	Prunus_1937	1937	311.738	453.794
PRUNUS	255	Prunus_1938	1938	330.162	449.734
PRUNUS	256	Prunus_1939	1939	332.671	458.112
PRUNUS	257	Prunus_1940	1940	341.094	474.236
PRUNUS	258	Prunus_1941	1941	276.598	279.476
