1826 1    119  119  178  194  246  246  104  104  183  187  222  228  231  235  93   97   142  146  198  198  257  257
1827 1    119  119  178  194  246  246  104  104  183  183  221  222  231  231  97   97   142  142  198  198  257  283
1828 1    119  119  178  194  246  246  104  104  167  183  221  222  231  231  97   97   142  142  198  198  257  283
1829 1    119  119  178  178  246  246  104  104  167  167  221  221  231  231  97   97   142  142  198  198  257  283
1830 1    117  121  178  178  244  246  104  104  183  187  221  222  235  235  93   95   142  146  198  200  257  257
1831 1    119  119  178  194  244  246  104  122  173  183  221  222  231  231  95   97   136  146  198  200  271  295
1832 1    119  119  178  178  244  244  106  142  145  187  221  222  231  235  93   97   118  142  198  198  283  283
1833 1    119  121  178  194  246  246  104  122  173  183  222  222  231  235  95   95   136  142  198  200  257  295
1834 1    119  119  178  178  244  246  104  104  167  173  221  222  231  231  97   97   136  142  198  198  257  289
1835 1    119  127  178  206  246  246  104  104  159  173  221  222  231  231  95   95   134  136  198  198  257  295
1836 1    109  119  178  178  244  246  104  104  173  173  221  222  231  231  93   97   136  136  198  200  257  261
1837 1    119  119  178  178  244  246  104  124  173  183  221  221  231  231  97   97   142  146  198  198  257  289
1838 1    119  127  192  206  244  244  106  110  167  173  221  221  231  231  93   95   132  146  198  200  259  283
1839 1    119  119  178  206  244  246  104  118  167  183  221  222  231  231  97   101  142  144  198  198  257  275
1841 1    119  119  178  178  244  246  104  104  167  167  221  222  231  231  93   97   142  144  194  200  257  283
1842 1    109  119  176  176  244  246  104  104  173  173  221  221  231  231  93   93   136  146  200  200  261  263
1843 1    119  119  178  178  244  246  104  116  183  183  221  221  231  235  97   97   132  142  198  198  257  261
1844 1    117  119  178  194  244  246  104  104  145  183  222  222  231  231  93   95   136  142  194  200  283  283
1845 1    121  121  186  194  246  246  122  122  183  183  221  222  231  235  95   95   136  136  198  198  283  283
1846 1    119  119  178  178  244  244  102  104  145  183  221  222  231  231  93   97   142  146  194  198  287  295
1847 1    121  121  186  194  246  246  104  122  183  183  222  222  235  235  95   95   136  136  200  200  283  295
1848 1    119  121  186  186  246  246  104  122  183  183  222  222  231  235  95   95   134  136  198  198  283  283
1849 1    119  119  190  190  244  244  104  124  173  173  221  221  231  231  97   97   146  146  198  198  271  289
1850 1    119  121  186  194  246  246  104  104  183  183  221  221  235  235  95   95   136  136  198  198  283  283
1921 1    119  119  194  194  246  246  104  104  167  183  221  222  231  231  97   97   142  142  198  198  283  283
1922 1    117  125  194  194  246  246  104  106  145  183  222  226  231  235  93   95   136  142  198  198  259  283
1923 1    117  121  194  204  246  246  104  112  183  183  222  228  231  235  93   95   132  146  194  198  251  295
1924 1    119  119  178  194  244  244  104  142  167  183  222  222  231  235  93   97   142  146  194  198  283  295
1925 1    109  119  176  178  246  246  104  104  173  183  221  222  231  231  93   97   136  146  198  200  261  271
1926 1    119  119  178  190  244  244  104  104  173  183  221  222  231  231  93   97   142  146  198  198  289  295
1927 1    119  119  178  178  244  246  102  104  183  183  221  222  231  235  93   93   142  142  194  198  283  287
1928 1    117  119  178  194  246  246  122  142  183  183  222  222  231  231  93   95   136  142  198  200  283  283
1929 1    119  119  178  190  244  244  104  124  167  173  221  221  231  231  97   97   142  146  198  198  271  289
1930 1    119  119  178  190  244  246  104  124  167  183  221  222  231  231  95   97   134  142  198  198  271  271
1931 1    119  119  178  178  246  246  104  104  183  183  221  221  231  231  97   97   142  142  198  198  257  257
1932 1    119  119  178  194  246  246  104  104  167  187  221  221  231  231  93   97   142  146  198  198  261  283
1933 1    119  119  176  178  244  244  104  104  173  173  221  221  231  231  93   93   136  146  200  200  261  263
