SITE	MHAB	DENOM	OX	OY	NEWX	NEWY	SEEDS	SEEDL
IN	A	INA66	102.33	381.64	302.33	681.64	.	.
IN	A	INA67	100.03	385.43	300.03	685.43	.	.
IN	A	INA68	-42.43	233.21	157.57	533.21	.	.
IN	A	INA69	-44.03	240.71	155.97	540.71	.	.
IN	A	INA7	-24.32	165.01	175.68	465.01	5	0
IN	A	INA70	-123.87	183.58	76.13	483.58	.	.
IN	A	INA71	24.17	346.32	224.17	646.32	.	.
IN	A	INA72	-4.14	288.12	195.86	588.12	.	.
IN	A	INA73	56.88	212.38	256.88	512.38	57	0
IN	A	INA74	65.82	202.81	265.82	502.81	49	4
IN	A	INA75	74.83	389.47	274.83	689.47	.	.
IN	A	INA76	79.74	386.03	279.74	686.03	.	.
IN	A	INA77	76.96	382.35	276.96	682.35	.	.
IN	A	INA78	93.66	254.79	293.66	554.79	2	0
IN	A	INA79	-60.02	145.26	139.98	445.26	.	.
IN	A	INA8	-24.64	161.46	175.36	461.46	1	1
IN	A	INA80	-65.1	70.99	134.90	370.99	1	0
IN	A	INA9	-41.02	172.14	158.98	472.14	.	.
IN	B	INB1	77.83	161.18	277.83	461.18	.	.
IN	B	INB10	-88.12	139.7	111.88	439.70	.	.
IN	B	INB11	-46.83	154.01	153.17	454.01	.	.
IN	B	INB12	-66.09	163.47	133.91	463.47	.	.
IN	B	INB13	-76.29	147.82	123.71	447.82	.	.
IN	B	INB14	-95.77	124.21	104.23	424.21	.	.
IN	B	INB15	-98.06	124.31	101.94	424.31	.	.
IN	B	INB16	-3.49	9.58	196.51	309.58	.	.
IN	B	INB17	9.13	59.23	209.13	359.23	1	0
IN	B	INB18	7.75	59.47	207.75	359.47	6	0
IN	B	INB19	64.03	161.85	264.03	461.85	1	0
IN	B	INB2	62.12	165.34	262.12	465.34	1	0
IN	B	INB20	79.75	178.48	279.75	478.48	.	.
IN	B	INB21	5.37	175.82	205.37	475.82	1	0
IN	B	INB22	-19.74	177.2	180.26	477.20	1	1
IN	B	INB23	-22.25	174.77	177.75	474.77	1	1
IN	B	INB24	-26.72	170.07	173.28	470.07	.	.
IN	B	INB25	-75.62	172.28	124.38	472.28	.	.
IN	B	INB26	-66.75	140.34	133.25	440.34	.	.
IN	B	INB27	-76.3	133.11	123.70	433.11	.	.
IN	B	INB28	-89.1	125.9	110.90	425.90	.	.
IN	B	INB29	-125.21	110.54	74.79	410.54	.	.
IN	B	INB3	49.8	179.09	249.80	479.09	3	0
IN	B	INB30	-128.5	132.88	71.50	432.88	.	.
IN	B	INB31	-24.62	8.96	175.38	308.96	.	.
IN	B	INB32	-13.78	6.42	186.22	306.42	2	0
IN	B	INB33	-12.58	14.83	187.42	314.83	.	.
IN	B	INB34	-2.12	25.27	197.88	325.27	.	.
IN	B	INB35	0.65	28.57	200.65	328.57	3	0
IN	B	INB36	1.08	30.82	201.08	330.82	.	.
IN	B	INB37	12.11	60.2	212.11	360.20	.	.
IN	B	INB38	59.04	137.3	259.04	437.30	.	.
IN	B	INB39	73.62	178.24	273.62	478.24	1	0
IN	B	INB4	9.85	163.87	209.85	463.87	.	.
IN	B	INB40	71.65	187.86	271.65	487.86	.	.
IN	B	INB41	36.26	285.24	236.26	585.24	.	.
IN	B	INB42	28.37	287.65	228.37	587.65	.	.
IN	B	INB43	25.32	296.01	225.32	596.01	.	.
IN	B	INB44	18.67	305.51	218.67	605.51	.	.
IN	B	INB45	28.06	308.5	228.06	608.50	.	.
IN	B	INB46	24.99	311.07	224.99	611.07	.	.
IN	B	INB47	38.18	331.89	238.18	631.89	.	.
IN	B	INB48	43.88	331.09	243.88	631.09	.	.
IN	B	INB49	52.54	349.67	252.54	649.67	.	.
IN	B	INB5	-3.3	175.99	196.70	475.99	.	.
IN	B	INB50	40.78	363.25	240.78	663.25	.	.
IN	B	INB51	51.58	371.55	251.58	671.55	.	.
IN	B	INB52	51.44	374.95	251.44	674.95	.	.
IN	B	INB53	54.91	384.49	254.91	684.49	.	.
IN	B	INB54	43.99	399.41	243.99	699.41	.	.
IN	B	INB55	53.19	403.7	253.19	703.70	.	.
IN	B	INB56	49.79	409.59	249.79	709.59	.	.
IN	B	INB57	56.96	417.8	256.96	717.80	.	.
IN	B	INB58	66.69	423.15	266.69	723.15	.	.
IN	B	INB59	66.35	432.1	266.35	732.10	.	.
IN	B	INB6	-24.93	192.28	175.07	492.28	.	.
IN	B	INB60	66.06	443.03	266.06	743.03	.	.
IN	B	INB61	76.22	437.48	276.22	737.48	.	.
IN	B	INB62	83.15	432.65	283.15	732.65	.	.
IN	B	INB63	85.38	432.47	285.38	732.47	.	.
IN	B	INB64	88.28	427.38	288.28	727.38	.	.
IN	B	INB65	87.56	419.12	287.56	719.12	.	.
IN	B	INB66	96.32	420.66	296.32	720.66	.	.
IN	B	INB67	100.99	415.99	300.99	715.99	.	.
IN	B	INB68	97.35	408.91	297.35	708.91	.	.
IN	B	INB69	105.87	410.17	305.87	710.17	.	.
IN	B	INB7	-63.42	209.06	136.58	509.06	.	.
IN	B	INB70	112.54	411.96	312.54	711.96	.	.
IN	B	INB71	47.48	324.86	247.48	624.86	.	.
IN	B	INB72	59.24	312.78	259.24	612.78	.	.
IN	B	INB73	59.76	300.58	259.76	600.58	.	.
IN	B	INB74	56.62	135.9	256.62	435.90	.	.
IN	B	INB75	-3.63	31.14	196.37	331.14	1	0
IN	B	INB76	-8	27.42	192.00	327.42	3	0
IN	B	INB77	-9.43	25.42	190.57	325.42	1	0
IN	B	INB78	-31.48	11.46	168.52	311.46	1	0
IN	B	INB79	-65.18	3.9	134.82	303.90	.	.
IN	B	INB8	-58.06	169.88	141.94	469.88	1	0
IN	B	INB80	-65.44	-2.52	134.56	297.48	0	1
IN	B	INB9	-55.85	146.31	144.15	446.31	.	.
IN	N	INN1	-2.17	164.39	197.83	464.39	2	0
IN	N	INN10	-106.28	208.78	93.72	508.78	.	.
IN	N	INN11	-107.15	198.92	92.85	498.92	.	.
IN	N	INN12	-93.58	186.79	106.42	486.79	.	.
IN	N	INN13	-121.25	172.12	78.75	472.12	.	.
IN	N	INN14	-134.6	151.35	65.40	451.35	.	.
IN	N	INN15	-138.48	144.65	61.52	444.65	.	.
IN	N	INN16	-140.12	132.79	59.88	432.79	1	0
IN	N	INN17	-104.72	111.81	95.28	411.81	.	.
IN	N	INN18	-97.2	114.55	102.80	414.55	.	.
IN	N	INN19	-88.08	105.43	111.92	405.43	.	.
IN	N	INN2	-7.71	161.39	192.29	461.39	1	1
IN	N	INN20	-83.76	113.37	116.24	413.37	.	.
IN	N	INN21	-54.37	108.25	145.63	408.25	.	.
IN	N	INN22	-53.81	123.63	146.19	423.63	1	0
IN	N	INN23	-26.62	132.57	173.38	432.57	.	.
IN	N	INN24	-20.34	127.3	179.66	427.30	1	1
IN	N	INN25	-25.33	136.27	174.67	436.27	1	0
IN	N	INN26	56.18	190.25	256.18	490.25	2	0
IN	N	INN27	51.42	126.31	251.42	426.31	1	0
IN	N	INN28	37.62	91.38	237.62	391.38	2	0
IN	N	INN29	6.44	33.83	206.44	333.83	3	0
IN	N	INN3	-31.77	151.62	168.23	451.62	1	0
IN	N	INN30	-45.28	-11.54	154.72	288.46	.	.
IN	N	INN31	-42.78	-4.68	157.22	295.32	2	0
IN	N	INN32	-57.94	-8.74	142.06	291.26	.	.
IN	N	INN33	-55.38	-1.7	144.62	298.30	1	0
IN	N	INN34	-52.5	-16.53	147.50	283.47	.	.
IN	N	INN35	-69.11	-5.28	130.89	294.72	4	0
IN	N	INN36	-65.88	-0.88	134.12	299.12	4	1
IN	N	INN37	-62.19	31.82	137.81	331.82	0	1
IN	N	INN38	-81.78	28.78	118.22	328.78	.	.
IN	N	INN39	-93.11	24.2	106.89	324.20	.	.
IN	N	INN4	-42.25	150.67	157.75	450.67	5	0
IN	N	INN40	-74.09	42.25	125.91	342.25	.	.
IN	N	INN41	11.99	227.92	211.99	527.92	.	.
IN	N	INN42	30.2	198.35	230.20	498.35	1	0
IN	N	INN43	43.25	195.48	243.25	495.48	.	.
IN	N	INN44	52.95	187.9	252.95	487.90	0	1
IN	N	INN45	52.6	190.39	252.60	490.39	.	.
IN	N	INN46	0.89	162.85	200.89	462.85	.	.
IN	N	INN47	-8.53	161.06	191.47	461.06	2	0
IN	N	INN48	-31.5	148.83	168.50	448.83	.	.
IN	N	INN49	-41.96	147.91	158.04	447.91	1	0
IN	N	INN5	-49.72	172.18	150.28	472.18	.	.
IN	N	INN50	-52.76	106.33	147.24	406.33	.	.
IN	N	INN51	-52.18	110.15	147.82	410.15	0	1
IN	N	INN52	-52.12	111.88	147.88	411.88	0	1
IN	N	INN53	-77.2	103	122.80	403.00	.	.
IN	N	INN54	-85.08	110.14	114.92	410.14	.	.
IN	N	INN55	-101.46	111.57	98.54	411.57	1	0
IN	N	INN56	-143.03	135.24	56.97	435.24	0	1
IN	N	INN57	-170.76	117.99	29.24	417.99	.	.
IN	N	INN58	-122.51	143.96	77.49	443.96	.	.
IN	N	INN59	-161.6	153.51	38.40	453.51	.	.
IN	N	INN6	-68.29	181.17	131.71	481.17	.	.
IN	N	INN60	-162.16	155.89	37.84	455.89	.	.
IN	N	INN61	10.18	228.76	210.18	528.76	1	1
IN	N	INN62	-13.55	260.07	186.45	560.07	.	.
IN	N	INN63	-15.18	261.69	184.82	561.69	4	0
IN	N	INN64	-78.73	256.6	121.27	556.60	.	.
IN	N	INN65	-78.73	242.6	121.27	542.60	.	.
IN	N	INN66	-85.08	232.74	114.92	532.74	.	.
IN	N	INN67	-92.59	241.71	107.41	541.71	.	.
IN	N	INN68	-88.15	247	111.85	547.00	.	.
IN	N	INN69	-83.17	219.56	116.83	519.56	.	.
IN	N	INN7	-71.28	178.03	128.72	478.03	.	.
IN	N	INN70	-95.94	217.46	104.06	517.46	.	.
IN	N	INN71	-99.52	223.29	100.48	523.29	.	.
IN	N	INN72	-108.4	220.8	91.60	520.80	.	.
IN	N	INN73	-101.84	199.27	98.16	499.27	.	.
IN	N	INN74	-97.73	200.23	102.27	500.23	.	.
IN	N	INN75	-100.41	196.19	99.59	496.19	.	.
IN	N	INN76	-138.97	160.4	61.03	460.40	1	0
IN	N	INN77	-153.58	165.09	46.42	465.09	.	.
IN	N	INN78	-152.09	155.4	47.91	455.40	.	.
IN	N	INN79	-150.2	148.83	49.80	448.83	.	.
IN	N	INN8	-78.58	165.69	121.42	465.69	.	.
IN	N	INN80	-147.92	143.93	52.08	443.93	.	.
IN	N	INN9	-84.66	168.52	115.34	468.52	.	.
IN	P	INP1	50.83	219.03	250.83	519.03	1	1
IN	P	INP10	2.03	317.98	202.03	617.98	0	1
IN	P	INP11	26.49	326.43	226.49	626.43	.	.
IN	P	INP12	12.73	342.83	212.73	642.83	.	.
IN	P	INP13	33.43	363.61	233.43	663.61	.	.
IN	P	INP14	62.9	350.11	262.90	650.11	1	0
IN	P	INP15	73.5	362.75	273.50	662.75	.	.
IN	P	INP16	60.18	393.71	260.18	693.71	.	.
IN	P	INP17	60.18	402.71	260.18	702.71	.	.
IN	P	INP18	66.23	419.25	266.23	719.25	.	.
IN	P	INP19	72.15	426.3	272.15	726.30	.	.
IN	P	INP2	51.14	228.53	251.14	528.53	2	0
IN	P	INP20	75.02	432.46	275.02	732.46	.	.
IN	P	INP21	119.22	409	319.22	709.00	.	.
IN	P	INP22	116.1	391.28	316.10	691.28	.	.
IN	P	INP23	121.52	382.7	321.52	682.70	.	.
IN	P	INP24	111.42	388.58	311.42	688.58	.	.
IN	P	INP25	80.86	407.51	280.86	707.51	1	0
IN	P	INP26	107.55	377.87	307.55	677.87	.	.
IN	P	INP27	103.32	366.14	303.32	666.14	1	0
IN	P	INP28	110.95	356.09	310.95	656.09	1	0
IN	P	INP29	117.51	347.58	317.51	647.58	.	.
IN	P	INP3	52.05	245.21	252.05	545.21	2	0
IN	P	INP30	106.7	346.41	306.70	646.41	.	.
IN	P	INP31	107.55	339.22	307.55	639.22	.	.
IN	P	INP32	101.53	337.85	301.53	637.85	.	.
IN	P	INP33	93.34	341.78	293.34	641.78	.	.
IN	P	INP34	90.49	331.16	290.49	631.16	.	.
IN	P	INP35	90.49	321.3	290.49	621.30	.	.
IN	P	INP36	84.28	307.97	284.28	607.97	3	0
IN	P	INP37	76.93	314.14	276.93	614.14	.	.
IN	P	INP38	75.68	305.67	275.68	605.67	0	1
IN	P	INP39	87.88	294.55	287.88	594.55	0	1
IN	P	INP4	45.68	268.97	245.68	568.97	.	.
IN	P	INP40	100.8	312.4	300.80	612.40	1	0
IN	P	INP41	-29.57	130.22	170.43	430.22	0	4
IN	P	INP42	-36.14	126.18	163.86	426.18	.	.
IN	P	INP43	-42.45	117.17	157.55	417.17	1	1
IN	P	INP44	-46.87	118.23	153.13	418.23	3	0
IN	P	INP45	-49.94	134.32	150.06	434.32	1	2
IN	P	INP46	-67.74	133.76	132.26	433.76	1	3
IN	P	INP47	-69.87	158.07	130.13	458.07	.	.
IN	P	INP48	-83.06	152.95	116.94	452.95	1	1
IN	P	INP49	-100.3	149.92	99.70	449.92	0	1
IN	P	INP5	34.9	269.7	234.90	569.70	.	.
IN	P	INP50	-92.72	172.28	107.28	472.28	.	.
IN	P	INP51	-105.54	120.17	94.46	420.17	1	2
IN	P	INP52	-122.03	102.41	77.97	402.41	.	.
IN	P	INP53	-135.47	107.3	64.53	407.30	5	2
IN	P	INP54	-136.43	103.67	63.57	403.67	.	.
IN	P	INP55	-139.81	97.65	60.19	397.65	1	0
IN	P	INP56	-142.69	139.73	57.31	439.73	.	.
IN	P	INP57	-124.2	150.39	75.80	450.39	.	.
IN	P	INP58	-128.08	168.44	71.92	468.44	.	.
IN	P	INP59	-142.22	160.97	57.78	460.97	2	0
IN	P	INP6	37.77	280.42	237.77	580.42	.	.
IN	P	INP60	-140.51	182.71	59.49	482.71	1	0
IN	P	INP61	-30.89	179.41	169.11	479.41	.	.
IN	P	INP62	-32.73	172.55	167.27	472.55	1	4
IN	P	INP63	-42.05	180.38	157.95	480.38	1	3
IN	P	INP64	-55.94	202.01	144.06	502.01	.	.
IN	P	INP65	-53.06	186.13	146.94	486.13	1	1
IN	P	INP66	-74.68	196.28	125.32	496.28	.	.
IN	P	INP67	-73.72	199.63	126.28	499.63	.	.
IN	P	INP68	-62.85	204.36	137.15	504.36	.	.
IN	P	INP69	-76.2	213.71	123.80	513.71	0	1
IN	P	INP7	27.2	283.04	227.20	583.04	.	.
IN	P	INP70	-82.87	211.93	117.13	511.93	.	.
IN	P	INP71	20.02	171.16	220.02	471.16	2	2
IN	P	INP72	19.39	178.35	219.39	478.35	1	3
