SITE	MHAB	DENOM	OX	OY	SEEDS	SEEDL
IN	B	INB12	-66.09	163.47	.	.
IN	B	INB13	-76.29	147.82	.	.
IN	B	INB14	-95.77	124.21	.	.
IN	B	INB15	-98.06	124.31	.	.
IN	B	INB16	-3.49	9.58	.	.
IN	B	INB17	9.13	59.23	1	0
IN	B	INB18	7.75	59.47	6	0
IN	B	INB19	64.03	161.85	1	0
IN	B	INB2	62.12	165.34	1	0
IN	B	INB20	79.75	178.48	.	.
IN	B	INB21	5.37	175.82	1	0
IN	B	INB22	-19.74	177.2	1	1
IN	B	INB23	-22.25	174.77	1	1
IN	B	INB24	-26.72	170.07	.	.
IN	B	INB25	-75.62	172.28	.	.
IN	B	INB26	-66.75	140.34	.	.
IN	B	INB27	-76.3	133.11	.	.
IN	B	INB28	-89.1	125.9	.	.
IN	B	INB29	-125.21	110.54	.	.
IN	B	INB3	49.8	179.09	3	0
IN	B	INB30	-128.5	132.88	.	.
IN	B	INB31	-24.62	8.96	.	.
IN	B	INB32	-13.78	6.42	2	0
IN	B	INB33	-12.58	14.83	.	.
IN	B	INB34	-2.12	25.27	.	.
IN	B	INB35	0.65	28.57	3	0
IN	B	INB36	1.08	30.82	.	.
IN	B	INB37	12.11	60.2	.	.
IN	B	INB38	59.04	137.3	.	.
IN	B	INB39	73.62	178.24	1	0
IN	B	INB4	9.85	163.87	.	.
IN	B	INB40	71.65	187.86	.	.
IN	B	INB41	36.26	285.24	.	.
IN	B	INB42	28.37	287.65	.	.
IN	B	INB43	25.32	296.01	.	.
IN	B	INB44	18.67	305.51	.	.
IN	B	INB45	28.06	308.5	.	.
IN	B	INB46	24.99	311.07	.	.
IN	B	INB47	38.18	331.89	.	.
IN	B	INB48	43.88	331.09	.	.
IN	B	INB49	52.54	349.67	.	.
IN	B	INB5	-3.3	175.99	.	.
IN	B	INB50	40.78	363.25	.	.
IN	B	INB51	51.58	371.55	.	.
IN	B	INB52	51.44	374.95	.	.
IN	B	INB53	54.91	384.49	.	.
IN	B	INB54	43.99	399.41	.	.
IN	B	INB55	53.19	403.7	.	.
IN	B	INB56	49.79	409.59	.	.
IN	B	INB57	56.96	417.8	.	.
IN	B	INB58	66.69	423.15	.	.
IN	B	INB59	66.35	432.1	.	.
IN	B	INB6	-24.93	192.28	.	.
IN	B	INB60	66.06	443.03	.	.
IN	B	INB61	76.22	437.48	.	.
IN	B	INB62	83.15	432.65	.	.
IN	B	INB63	85.38	432.47	.	.
IN	B	INB64	88.28	427.38	.	.
IN	B	INB65	87.56	419.12	.	.
IN	B	INB66	96.32	420.66	.	.
IN	B	INB67	100.99	415.99	.	.
IN	B	INB68	97.35	408.91	.	.
IN	B	INB69	105.87	410.17	.	.
IN	B	INB7	-63.42	209.06	.	.
IN	B	INB70	112.54	411.96	.	.
IN	B	INB71	47.48	324.86	.	.
IN	B	INB72	59.24	312.78	.	.
IN	B	INB73	59.76	300.58	.	.
IN	B	INB74	56.62	135.9	.	.
IN	B	INB75	-3.63	31.14	1	0
IN	B	INB76	-8	27.42	3	0
IN	B	INB77	-9.43	25.42	1	0
IN	B	INB78	-31.48	11.46	1	0
IN	B	INB79	-65.18	3.9	.	.
IN	B	INB8	-58.06	169.88	1	0
IN	B	INB80	-65.44	-2.52	0	1
IN	B	INB9	-55.85	146.31	.	.
IN	N	INN1	-2.17	164.39	2	0
IN	N	INN10	-106.28	208.78	.	.
IN	N	INN11	-107.15	198.92	.	.
IN	N	INN12	-93.58	186.79	.	.
IN	N	INN13	-121.25	172.12	.	.
IN	N	INN14	-134.6	151.35	.	.
IN	N	INN15	-138.48	144.65	.	.
IN	N	INN16	-140.12	132.79	1	0
IN	N	INN17	-104.72	111.81	.	.
IN	N	INN18	-97.2	114.55	.	.
IN	N	INN19	-88.08	105.43	.	.
IN	N	INN2	-7.71	161.39	1	1
IN	N	INN20	-83.76	113.37	.	.
IN	N	INN21	-54.37	108.25	.	.
IN	N	INN22	-53.81	123.63	1	0
IN	N	INN23	-26.62	132.57	.	.
IN	N	INN24	-20.34	127.3	1	1
IN	N	INN25	-25.33	136.27	1	0
IN	N	INN26	56.18	190.25	2	0
IN	N	INN27	51.42	126.31	1	0
IN	N	INN28	37.62	91.38	2	0
IN	N	INN29	6.44	33.83	3	0
IN	N	INN3	-31.77	151.62	1	0
IN	N	INN30	-45.28	-11.54	.	.
IN	N	INN31	-42.78	-4.68	2	0
IN	N	INN32	-57.94	-8.74	.	.
IN	N	INN33	-55.38	-1.7	1	0
IN	N	INN34	-52.5	-16.53	.	.
IN	N	INN35	-69.11	-5.28	4	0
IN	N	INN36	-65.88	-0.88	4	1
IN	N	INN37	-62.19	31.82	0	1
IN	N	INN38	-81.78	28.78	.	.
IN	N	INN39	-93.11	24.2	.	.
IN	N	INN4	-42.25	150.67	5	0
IN	N	INN40	-74.09	42.25	.	.
IN	N	INN41	11.99	227.92	.	.
IN	N	INN42	30.2	198.35	1	0
IN	N	INN43	43.25	195.48	.	.
IN	N	INN44	52.95	187.9	0	1
IN	N	INN45	52.6	190.39	.	.
IN	N	INN46	0.89	162.85	.	.
IN	N	INN47	-8.53	161.06	2	0
IN	N	INN48	-31.5	148.83	.	.
IN	N	INN49	-41.96	147.91	1	0
IN	N	INN5	-49.72	172.18	.	.
IN	N	INN50	-52.76	106.33	.	.
IN	N	INN51	-52.18	110.15	0	1
IN	N	INN52	-52.12	111.88	0	1
IN	N	INN53	-77.2	103	.	.
IN	N	INN54	-85.08	110.14	.	.
IN	N	INN55	-101.46	111.57	1	0
IN	N	INN56	-143.03	135.24	0	1
IN	N	INN57	-170.76	117.99	.	.
IN	N	INN58	-122.51	143.96	.	.
IN	N	INN59	-161.6	153.51	.	.
IN	N	INN6	-68.29	181.17	.	.
IN	N	INN60	-162.16	155.89	.	.
IN	N	INN61	10.18	228.76	1	1
IN	N	INN62	-13.55	260.07	.	.
IN	N	INN63	-15.18	261.69	4	0
IN	N	INN64	-78.73	256.6	.	.
IN	N	INN65	-78.73	242.6	.	.
IN	N	INN66	-85.08	232.74	.	.
IN	N	INN67	-92.59	241.71	.	.
IN	N	INN68	-88.15	247	.	.
IN	N	INN69	-83.17	219.56	.	.
IN	N	INN7	-71.28	178.03	.	.
IN	N	INN70	-95.94	217.46	.	.
IN	N	INN71	-99.52	223.29	.	.
IN	N	INN72	-108.4	220.8	.	.
IN	N	INN73	-101.84	199.27	.	.
IN	N	INN74	-97.73	200.23	.	.
IN	N	INN75	-100.41	196.19	.	.
IN	N	INN76	-138.97	160.4	1	0
IN	N	INN77	-153.58	165.09	.	.
IN	N	INN78	-152.09	155.4	.	.
IN	N	INN79	-150.2	148.83	.	.
IN	N	INN8	-78.58	165.69	.	.
