*Data set for Kinship 1.0												
* Parentage analysis for Prunus mahaleb. Only parent trees.												
*Genotype block												
GROUP	ID	MOM	DAD	Fm001	FmMg3	Fm018	Tt403	TtE02	TtMC5	Hx406	Hx402	HxA05
1	1932	¥	¥	124/124	179/195	248/248	107/107	169/189	235/235	98/102	148/152	200/200
1	1933	¥	¥	124/124	177/179	246/246	107/107	175/175	235/235	98/98	142/152	202/202
1	1934	¥	¥	124/124	179/195	248/248	107/107	185/185	235/235	102/102	148/148	200/200
1	1935	¥	¥	124/132	187/195	246/248	105/109	155/169	235/239	98/102	142/148	200/202
1	1936	¥	¥	124/124	187/187	248/248	107/107	185/185	235/235	100/100	140/142	202/202
1	1937	¥	¥	124/124	179/179	248/248	107/109	171/189	235/239	98/100	124/140	200/200
1	1938	¥	¥	124/126	179/195	248/248	107/125	185/185	235/239	100/102	142/142	200/202
1	1939	¥	¥	124/124	179/195	248/248	107/107	185/185	235/235	100/102	148/148	200/200
1	1940	¥	¥	124/124	179/191	246/248	107/127	175/185	235/235	100/102	148/152	200/200
1	1941	¥	¥	124/124	179/179	248/248	107/107	185/185	235/235	102/102	148/148	200/200
